model_name,feature,coefficient,absolute_coefficient,direction
behavioral_only,numeric__customer_tenure_days,0.7048576830906652,0.7048576830906652,increases_churn_risk
behavioral_only,binary__has_completed_delivery,-0.423382443709769,0.423382443709769,decreases_churn_risk
behavioral_only,numeric__total_orders,-0.42010358709367057,0.42010358709367057,decreases_churn_risk
behavioral_only,numeric__historical_item_count,-0.37976830290775765,0.37976830290775765,decreases_churn_risk
behavioral_only,numeric__days_since_first_order,-0.2882849690949351,0.2882849690949351,decreases_churn_risk
behavioral_only,binary__has_review,-0.20660843688519012,0.20660843688519012,decreases_churn_risk
behavioral_only,numeric__spend_last_90d,-0.14734668094978248,0.14734668094978248,decreases_churn_risk
behavioral_only,numeric__missingindicator_avg_days_between_orders,0.11492549412212946,0.11492549412212946,increases_churn_risk
behavioral_only,numeric__missingindicator_avg_rating_given,-0.10559225314272433,0.10559225314272433,decreases_churn_risk
behavioral_only,numeric__missingindicator_avg_delivery_delay,-0.1022366398000003,0.1022366398000003,decreases_churn_risk
behavioral_only,numeric__days_since_last_order,0.09990225324671431,0.09990225324671431,increases_churn_risk
behavioral_only,numeric__avg_days_between_orders,0.08243660994680885,0.08243660994680885,increases_churn_risk
behavioral_only,numeric__lifetime_spend,0.07139644586906112,0.07139644586906112,increases_churn_risk
behavioral_only,numeric__orders_last_30d,-0.05313684115270954,0.05313684115270954,decreases_churn_risk
behavioral_only,numeric__review_count,-0.05200619481616517,0.05200619481616517,decreases_churn_risk
behavioral_only,numeric__spend_trend,0.051596674324738,0.051596674324738,increases_churn_risk
behavioral_only,numeric__category_count,0.04450950476356316,0.04450950476356316,increases_churn_risk
behavioral_only,binary__has_return,0.040021821002214665,0.040021821002214665,increases_churn_risk
behavioral_only,binary__is_single_order_customer,-0.03382647508298455,0.03382647508298455,decreases_churn_risk
behavioral_only,numeric__return_count,-0.018458409106605154,0.018458409106605154,decreases_churn_risk
behavioral_only,numeric__avg_order_value,0.017643223578722337,0.017643223578722337,increases_churn_risk
behavioral_only,numeric__orders_last_90d,-0.012679490343555188,0.012679490343555188,decreases_churn_risk
behavioral_only,numeric__missingindicator_spend_last_90d,-0.010507681616974695,0.010507681616974695,decreases_churn_risk
behavioral_only,numeric__missingindicator_lifetime_spend,0.0069513571939117625,0.0069513571939117625,increases_churn_risk
